ric,fol
SCB,45.81%
BBL,30.00%
SCC,25.00%
KTB,25.00%
CPALL,49.00%
BAY,25.00%
DTAC,49.00%
IVL,100.00%
TOP,40.00%
BEC,49.00%
BLA,25.00%
ITD,32.00%
EGCO,44.82%
LPN,39.00%
CK,25.00%
PB,30.00%
STA,49.00%
QH,40.00%
STEC,49.00%
PSL,49.00%
THCOM,40.00%
BH,49.00%
ESSO,100.00%
TVO,49.00%
GLOBAL,49.00%
SUC,20.00%
BKI,25.00%
TISCO,49.00%
BJC,49.00%
MINT,49.00%
SIRI,39.00%
SCCC,49.00%
CPF,40.00%
HANA,100.00%
BCH,49.00%
AAV,0.10%
SC,49.00%
CPN,30.00%
UVAN,49.00%
AMATA,49.00%
CENTEL,40.00%
DELTA,100.00%
HMPRO,30.00%
KBANK,48.98%
LOXLEY,30.00%
MAJOR,49.00%
PTTEP,40.00%
SAMART,49.00%
SPALI,35.00%
M,49.00%
GFPT,49.00%
BANPU,40.00%
TTW,49.00%
INTUCH,47.20%
GLAND,49.00%
MEGA,100.00%
THANI,49.00%
BAFS,40.00%
ICHI,49.00%
KTIS,49.00%
S,39.00%
DCC,35.00%
BDMS,25.00%
KSL,40.00%
TTCL,49.00%
TASCO,39.00%
LH,30.00%
ADVANC,48.30%
EASTW,30.00%
VIBHA,40.00%
BA,49.00%
CBG,49.00%
PTG,49.00%
UNIQ,49.00%
GPSC,49.00%
CHG,49.00%
SPCG,49.00%
EPG,49.00%
VNG,49.00%
IMPACTu,
CCET,100.00%
BEAUTY,100.00%
ASP,49.00%
PLANB,49.00%
PLAT,49.00%
DEMCO,49.00%
AEONTS,49.00%
ERW,49.00%
MODERN,42.00%
SVI,100.00%
SNP,25.00%
WORK,49.00%
PF,49.00%
ANAN,49.00%
SAT,49.00%
TU,45.00%
TRUE,49.00%
CIMBT,97.20%
CKP,49.00%
TRC,49.00%
TIPCO,40.00%
SPC,30.00%
WHARTu,
BEM,49.00%
GUNKUL,49.00%
SPRC,100.00%
BWG,49.00%
KAMART,49.00%
TKN,49.00%
PSH,40.00%
JAS,49.00%
AOT,30.00%
EA,49.00%
BPP,40.00%
BCPG,49.00%
BIG,40.00%
BCP,25.00%
COM7,30.00%
IRPC,49.00%
PTTGC,37.00%
MALEE,49.00%
NYT,49.00%
SAWAD,49.00%
TPIPP,49.00%
ORI,49.00%
WHAUP,49.00%
TCCC,49.00%
LHHOTELu,
STANLY,49.00%
BGRIM,49.00%
TOA,49.00%
TFMAMA,30.00%
PRINC,49.00%
JMART,49.00%
MC,49.00%
ROJNA,49.00%
SYNTEC,40.00%
PRM,49.00%
BTS,49.00%
LHFG,49.00%
MTC,49.00%
SKR,49.00%
SUPER,49.00%
SGP,49.00%
THG,40.00%
MAKRO,49.00%
DDD,49.00%
PTL,100.00%
AH,49.00%
TWPC,49.00%
GVREITu,
TR,100.00%
KCE,49.00%
KTC,49.00%
JMT,49.00%
AP,30.00%
UV,49.00%
WHA,49.00%
TCAP,49.00%
COTTO,49.00%
U,49.00%
FPT,49.00%
OSP,49.00%
TFG,49.00%
STPI,30.00%
RATCH,25.00%
AYUD,49.00%
VGI,49.00%
TPIPL,24.00%
RJH,30.00%
PR9,49.00%
RS,49.00%
BLAND,49.00%
CPNREITu,
FTREITu,
DOHOME,49.00%
AWC,49.00%
ACE,49.00%
GULF,49.00%
PTT,30.00%
BAM,49.00%
KKP,44.00%
CRC,49.00%
MCS,49.00%
RBF,49.00%
VNT,
MONO,49.00%
MBK,40.00%
TTA,49.00%
THRE,49.00%
SINGER,49.00%
UTP,49.00%
SAUCE,30.00%
STARK,49.00%
STGT,49.00%
NOBLE,49.00%
SCGP,30.00%
RCL,30.00%
SSP,49.00%
NER,49.00%
CGD,49.00%
TTB,49.00%
OR,25.00%
KEX,49.00%
ASK,49.00%
SAK,49.00%
SYNEX,49.00%
XPG,49.00%
NCAP,49.00%
JWD,49.00%
BFIT,25.00%
AJ,30.00%
TSTH,100.00%
GJS,100.00%
SHR,49.00%
SMT,100.00%
SIS,49.00%
CPTGFu,
NRF,49.00%
MICRO,49.00%
CHAYO,49.00%
TIDLOR,100.00%
TFFIFu,
7UP,49.00%
ASIAN,20.00%
NEX,49.00%
FORTH,49.00%
SKY,49.00%
EKH,49.00%
SABUY,49.00%
TIPH,49.00%
BYD,49.00%
AI,15.00%
BEYOND,49.00%
RAM,35.00%
JTS,49.00%
LANNA,25.00%
AS,49.00%
III,49.00%
SNNP,49.00%
DMT,49.00%
ICC,30.00%
AIT,25.00%
TQM,49.00%
